title,brand,audience,category,link,description
Basic Intro,YouTube,Beginner,Videos,https://www.youtube.com/watch?v=V2RoqUr0qDU,"A basic overview of ChatGPT by an AI scholar, when it was first released."
More Advanced,YouTube,Beginner,Videos,https://www.youtube.com/watch?v=LVcxmmXNaj4&pp=ygUZY2hhdGdwdCB0d28gbWludXRlIHBhcGVycw%3D%3D,"A more in-depth look at the applications of ChatGPT, 3 months after initial launch. Shows the incredibly progress and implementations after just a few months after its world-wide release."
Chat GPT-4,YouTube,Beginner,Videos,https://www.youtube.com/watch?v=5kBu7z7Ye7M,"A look at the advancements and improvements of GPT-4 over ChatGPT-3. Demonstrates the exponential improvement of the AI sector as a whole, and points to future applications."
Future Speculation,YouTube,Beginner,Videos,https://www.youtube.com/watch?v=0uQqMxXoNVs,"A long, in-depth exploration of the possible effects of ChatGPT and other similar products, and where the future of technology and our society might go."
How to Use ChatGPT to Learn,YouTube,Beginner,Videos,https://www.youtube.com/watch?v=MnDudvCyWpc,A great tutorial on how to utilize ChatGPT as a learning assistant. Applicable to many similar lines of thinking an using GPT as an assistant.
Ultimate Resource for Prompts,Medium,Intermediate,Blog,https://medium.com/mlearning-ai/the-chatgpt-list-of-lists-a-collection-of-1500-useful-mind-blowing-and-strange-use-cases-8b14c35eb,"A huge, diverse list of links to useful prompts to best use ChatGPT. Great for beginners and learning more about the product."
Educator Guidelines from Open AI,OpenAI,Teachers,Blog,https://platform.openai.com/docs/chatgpt-education,OpenAI's guide to ChatGPT for educators. This resource includes everything from classroom use cases to the ethics of using AI classifiers.
AI Classifiers FAQ,GPTZero,"Teachers, Students",Blog,https://gptzero.me/faq,Frequently asked questions about AI classifiers answered by the GPTZero team. 
How AI Classifiers Work,Paraphrasingtool,"Teachers, Students",Blog,https://paraphrasingtool.ai/ai-content-detectors-a-useful-tool-or-a-flawed-solution/,"An intuitive explanation of how AI classifiers work, and their fundamental flaws in policing academic honesty."
AI Classifier from OpenAI,OpenAI,Teachers,Blog,https://openai.com/blog/new-ai-classifier-for-indicating-ai-written-text,"The AI classifier from OpenAI, the creators of ChatGPT."
Coursera's Intro to ChatGPT,Coursera,Intermediate,Course,https://www.coursera.org/projects/chat-gpt-for-beginners-using-ai-for-market-research,Get up and running with ChatGPT in this 2-hour beginner-friendly course created by Coursera. Course price: $9.99
edX's Intro to ChatGPT,edX,Intermediate,Course,https://www.edx.org/course/introduction-to-chatgpt,"Get comfortable with using ChatGPT in your everyday workflow in this 2-hour course created by edX. Course price: FREE to audit, $20.00 for certificate."
Codecademy's Intro to ChatGPT,Codecademy,Intermediate,Course,https://www.codecademy.com/learn/intro-to-chatgpt,"Learn about generative AI and writing effective prompts along with the limitations of ChatGPT in this 7-hour from Codecademy. Course price: FREE to audit, $34.99/mo for certificate."
DeepLearning.AI's NLP and Attention Models Course,Coursera,Advanced,Course,https://www.coursera.org/learn/attention-models-in-nlp,"Explore the world of AI in greater depth with this 35-hour course on Natrual Language Processing and Attention Models from DeepLearning.AI. Course price: 7-day free trial, $49.00/mo after trial ends."
LinkedIn Learning's Intro to Prompt Engineering,LinkedInLearning,Intermediate,Course,https://www.linkedin.com/learning/introduction-to-prompt-engineering-for-generative-ai?u=67682169,"Discover the new world of Prompt Engineering in this 2-hour LinkedIn Learning course from Ronnie Sheer. Course price: 30-day free trail, $39.99/mo after trial ends."